time_until_sent_home,time_until_admitted
96,207
157,266
58,167
292,344
187,272
162,333
164,257
100,258
141,220
136,247
120,262
93,244
125,280
122,238
136,239
119,176
73,166
214,345
172,324
169,308
139,275
196,281
131,252
112,288
169,286
129,247
85,245
212,348
114,272
132,316
119,204
125,221
133,246
148,215
222,334
109,174
193,318
108,244
219,462
205,419
192,544
184,346
137,250
179,397
172,368
94,182
172,258
190,317
134,252
161,296
124,254
163,260
116,322
126,221
